23/11/2008,13:27:53,17.80,degrees C,,cara,units,alvin,units,albert,units,alvin,units,albert,units,cara,units,bob,units
23/11/2008,14:10:15,,,,,,,22.35,degrees C,
23/11/2008,14:10:15,17.12,degrees C,,,,,,,
23/11/2008,14:10:15,,,,,17.68,degrees C,,,
23/11/2008,14:10:15,,,18.18,degrees C,,,,,
23/11/2008,14:10:16,,,,,,,20.95,degrees C,
23/11/2008,14:10:16,17.12,degrees C,,,,,,,
23/11/2008,14:10:16,,,,,17.62,degrees C,,,
23/11/2008,14:10:16,,,18.18,degrees C,,,,,
23/11/2008,14:10:17,,,,,,,20.47,degrees C,
23/11/2008,14:10:17,17.12,degrees C,,,,,,,
23/11/2008,14:10:17,,,,,17.62,degrees C,,,
23/11/2008,14:10:17,,,18.18,degrees C,,,,,
23/11/2008,14:10:18,,,,,,,20.26,degrees C,
23/11/2008,14:10:18,17.12,degrees C,,,,,,,
23/11/2008,14:10:18,,,,,17.68,degrees C,,,
23/11/2008,14:10:18,,,18.18,degrees C,,,,,
23/11/2008,14:10:19,,,,,,,20.6,degrees C,
23/11/2008,14:10:19,17.12,degrees C,,,,,,,
23/11/2008,14:10:19,,,,,17.68,degrees C,,,
23/11/2008,14:10:19,,,18.18,degrees C,,,,,
23/11/2008,14:10:20,,,,,,,19.1,degrees C,
23/11/2008,14:10:20,17.12,degrees C,,,,,,,
23/11/2008,14:10:20,,,,,17.68,degrees C,,,
23/11/2008,14:10:21,,,,,,,18.88,degrees C,
23/11/2008,14:10:21,17.12,degrees C,,,,,,,
23/11/2008,14:10:21,,,,,17.68,degrees C,,,
23/11/2008,14:10:22,,,,,,,18.88,degrees C,
23/11/2008,14:10:22,17.12,degrees C,,,,,,,
23/11/2008,14:10:22,,,,,17.62,degrees C,,,
23/11/2008,14:10:23,,,,,,,18.82,degrees C,
23/11/2008,14:10:23,,,18.18,degrees C,,,,,
23/11/2008,14:10:23,17.12,degrees C,,,,,,,
23/11/2008,14:10:23,,,,,17.68,degrees C,,,
23/11/2008,14:10:24,,,18.18,degrees C,,,,,
23/11/2008,14:10:24,,,,,,,18.69,degrees C,
23/11/2008,14:10:24,17.12,degrees C,,,,,,,
23/11/2008,14:10:24,,,,,17.68,degrees C,,,
23/11/2008,14:10:25,,,18.18,degrees C,,,,,
23/11/2008,14:10:25,,,,,,,18.69,degrees C,
23/11/2008,14:10:25,17.12,degrees C,,,,,,,
23/11/2008,14:10:26,,,,,17.68,degrees C,,,
23/11/2008,14:10:26,,,18.18,degrees C,,,,,
23/11/2008,14:10:26,,,,,,,18.62,degrees C,
23/11/2008,14:10:26,17.12,degrees C,,,,,,,
23/11/2008,14:10:27,,,,,17.68,degrees C,,,
23/11/2008,14:10:27,,,18.18,degrees C,,,,,
23/11/2008,14:10:27,,,,,,,18.62,degrees C,
23/11/2008,14:10:27,17.12,degrees C,,,,,,,
23/11/2008,14:10:28,,,,,17.68,degrees C,,,
23/11/2008,14:10:28,,,18.18,degrees C,,,,,
23/11/2008,14:10:28,17.12,degrees C,,,,,,,
23/11/2008,14:10:29,,,,,17.62,degrees C,,,
23/11/2008,14:10:29,,,18.18,degrees C,,,,,
23/11/2008,14:10:29,17.12,degrees C,,,,,,,
23/11/2008,14:10:30,,,,,17.68,degrees C,,,
23/11/2008,14:10:30,,,18.18,degrees C,,,,,
23/11/2008,14:10:30,17.12,degrees C,,,,,,,
23/11/2008,14:10:31,,,18.18,degrees C,,,,,
23/11/2008,14:10:31,17.12,degrees C,,,,,,,
23/11/2008,14:10:32,,,18.24,degrees C,,,,,
23/11/2008,14:10:32,17.18,degrees C,,,,,,,
23/11/2008,14:10:33,,,18.11,degrees C,,,,,
23/11/2008,14:10:34,,,18.5,degrees C,,,,,
23/11/2008,14:10:35,,,18.11,degrees C,,,,,
23/11/2008,14:10:36,,,18.5,degrees C,,,,,
23/11/2008,14:10:37,,,18.11,degrees C,,,,,
23/11/2008,14:10:38,,,18.11,degrees C,,,,,
23/11/2008,14:10:39,,,18.11,degrees C,,,,,
23/11/2008,14:10:40,,,18.11,degrees C,,,,,
23/11/2008,14:10:41,,,18.18,degrees C,,,,,
23/11/2008,14:10:42,,,18.18,degrees C,,,,,
23/11/2008,14:10:43,,,18.18,degrees C,,,,,
23/11/2008,14:10:44,,,18.18,degrees C,,,,,
23/11/2008,14:10:45,,,18.11,degrees C,,,,,
23/11/2008,14:10:46,,,18.11,degrees C,,,,,
23/11/2008,14:10:47,,,18.11,degrees C,,,,,
23/11/2008,14:10:48,,,18.11,degrees C,,,,,
23/11/2008,14:10:49,,,18.11,degrees C,,,,,
23/11/2008,14:10:50,,,18.11,degrees C,,,,,
23/11/2008,14:10:51,,,18.11,degrees C,,,,,
23/11/2008,14:10:52,,,18.11,degrees C,,,,,
23/11/2008,14:10:53,,,18.11,degrees C,,,,,
23/11/2008,14:10:54,,,18.11,degrees C,,,,,
23/11/2008,14:10:55,,,18.11,degrees C,,,,,
23/11/2008,14:10:56,,,18.11,degrees C,,,,,
23/11/2008,14:10:57,,,18.11,degrees C,,,,,
23/11/2008,14:10:58,,,18.11,degrees C,,,,,
23/11/2008,14:10:59,,,18.11,degrees C,,,,,
23/11/2008,14:11:0,,,18.11,degrees C,,,,,
23/11/2008,14:11:1,,,18.11,degrees C,,,,,
23/11/2008,14:11:2,,,18.11,degrees C,,,,,
23/11/2008,14:11:3,,,18.18,degrees C,,,,,
23/11/2008,14:11:4,,,18.18,degrees C,,,,,
23/11/2008,14:11:5,,,18.11,degrees C,,,,,
23/11/2008,14:11:8,,,18.11,degrees C,,,,,
23/11/2008,14:11:9,,,18.11,degrees C,,,,,
23/11/2008,14:11:10,,,18.11,degrees C,,,,,
23/11/2008,14:11:11,,,18.11,degrees C,,,,,
23/11/2008,14:11:12,,,18.11,degrees C,,,,,
23/11/2008,14:11:13,,,18.11,degrees C,,,,,
23/11/2008,14:11:14,,,18.11,degrees C,,,,,
23/11/2008,14:11:15,,,18.11,degrees C,,,,,
23/11/2008,14:11:16,,,18.11,degrees C,,,,,
23/11/2008,14:11:17,,,18.11,degrees C,,,,,
23/11/2008,14:11:18,,,18.11,degrees C,,,,,
23/11/2008,14:11:19,,,18.11,degrees C,,,,,
23/11/2008,14:11:20,,,18.11,degrees C,,,,,
23/11/2008,14:11:21,,,18.11,degrees C,,,,,
23/11/2008,14:11:22,,,18.11,degrees C,,,,,
23/11/2008,14:11:23,,,18.11,degrees C,,,,,
23/11/2008,14:11:24,,,18.5,degrees C,,,,,
23/11/2008,14:11:25,,,18.5,degrees C,,,,,
23/11/2008,14:11:26,,,18.5,degrees C,,,,,
23/11/2008,14:11:27,,,18.5,degrees C,,,,,
23/11/2008,14:11:28,,,18.5,degrees C,,,,,
23/11/2008,14:11:29,,,18.5,degrees C,,,,,
23/11/2008,14:11:30,,,18.5,degrees C,,,,,
23/11/2008,14:11:31,,,18.5,degrees C,,,,,
23/11/2008,14:11:32,,,18.5,degrees C,,,,,
23/11/2008,14:11:33,,,18.5,degrees C,,,,,
23/11/2008,14:11:34,,,18.5,degrees C,,,,,
23/11/2008,14:11:35,,,18.5,degrees C,,,,,
23/11/2008,14:11:36,,,18.5,degrees C,,,,,
23/11/2008,14:11:38,,,18.5,degrees C,,,,,
23/11/2008,14:11:39,,,18.5,degrees C,,,,,
23/11/2008,14:11:40,,,18.5,degrees C,,,,,
23/11/2008,14:11:41,,,18.5,degrees C,,,,,
23/11/2008,14:11:42,,,18.5,degrees C,,,,,
23/11/2008,14:11:43,,,18.5,degrees C,,,,,
23/11/2008,14:11:44,,,18.5,degrees C,,,,,
23/11/2008,14:11:45,,,18.5,degrees C,,,,,
23/11/2008,14:11:46,,,18.5,degrees C,,,,,
23/11/2008,14:11:47,,,18.5,degrees C,,,,,
23/11/2008,14:11:48,,,18.5,degrees C,,,,,
23/11/2008,14:11:49,,,17.99,degrees C,,,,,
23/11/2008,14:11:50,,,18.5,degrees C,,,,,
23/11/2008,14:11:51,,,17.99,degrees C,,,,,
23/11/2008,14:11:52,,,17.99,degrees C,,,,,
23/11/2008,14:11:53,,,17.99,degrees C,,,,,
23/11/2008,14:11:54,,,17.99,degrees C,,,,,
23/11/2008,14:11:55,,,18.5,degrees C,,,,,
23/11/2008,14:11:56,,,17.99,degrees C,,,,,
23/11/2008,14:11:57,,,18.5,degrees C,,,,,
23/11/2008,14:11:58,,,17.99,degrees C,,,,,
23/11/2008,14:12:0,,,17.99,degrees C,,,,,
23/11/2008,14:12:1,,,17.99,degrees C,,,,,
23/11/2008,14:12:2,,,17.99,degrees C,,,,,
23/11/2008,14:12:3,,,17.99,degrees C,,,,,
23/11/2008,14:12:4,,,17.99,degrees C,,,,,
23/11/2008,14:12:5,,,17.99,degrees C,,,,,
23/11/2008,14:12:6,,,17.99,degrees C,,,,,
23/11/2008,14:12:7,,,17.99,degrees C,,,,,
23/11/2008,14:12:8,,,17.99,degrees C,,,,,
23/11/2008,14:12:9,,,17.99,degrees C,,,,,
23/11/2008,14:12:10,,,17.99,degrees C,,,,,
23/11/2008,14:12:11,,,17.99,degrees C,,,,,
23/11/2008,14:12:13,,,17.99,degrees C,,,,,
23/11/2008,14:12:14,,,17.99,degrees C,,,,,
23/11/2008,14:12:15,,,17.99,degrees C,,,,,
23/11/2008,14:12:16,,,17.99,degrees C,,,,,
23/11/2008,14:12:17,,,17.99,degrees C,,,,,
23/11/2008,14:12:18,,,17.99,degrees C,,,,,
23/11/2008,14:12:19,,,18.5,degrees C,,,,,
23/11/2008,14:12:20,,,17.99,degrees C,,,,,
23/11/2008,14:12:21,,,17.99,degrees C,,,,,
23/11/2008,14:12:22,,,17.99,degrees C,,,,,
23/11/2008,14:12:23,,,17.99,degrees C,,,,,
23/11/2008,14:12:24,,,17.99,degrees C,,,,,
23/11/2008,14:12:25,,,17.99,degrees C,,,,,
23/11/2008,14:12:26,,,17.99,degrees C,,,,,
23/11/2008,14:12:27,,,17.99,degrees C,,,,,
23/11/2008,14:12:28,,,17.99,degrees C,,,,,
23/11/2008,14:12:29,,,17.99,degrees C,,,,,
23/11/2008,14:12:30,,,17.99,degrees C,,,,,
23/11/2008,14:12:31,,,17.99,degrees C,,,,,
23/11/2008,14:12:32,,,17.99,degrees C,,,,,
23/11/2008,14:12:33,,,17.99,degrees C,,,,,
23/11/2008,14:12:34,,,17.99,degrees C,,,,,
23/11/2008,14:12:35,,,17.99,degrees C,,,,,
23/11/2008,14:12:36,,,17.99,degrees C,,,,,
23/11/2008,14:12:37,,,17.99,degrees C,,,,,
23/11/2008,14:12:38,,,17.93,degrees C,,,,,
23/11/2008,14:12:39,,,17.93,degrees C,,,,,
23/11/2008,14:12:40,,,17.93,degrees C,,,,,
23/11/2008,14:12:41,,,17.93,degrees C,,,,,
23/11/2008,14:12:42,,,17.93,degrees C,,,,,
23/11/2008,14:12:43,,,17.99,degrees C,,,,,
23/11/2008,14:12:44,,,17.99,degrees C,,,,,
23/11/2008,14:12:45,,,17.99,degrees C,,,,,
23/11/2008,14:12:46,,,17.99,degrees C,,,,,
23/11/2008,14:12:47,,,17.93,degrees C,,,,,
23/11/2008,14:12:48,,,17.93,degrees C,,,,,
23/11/2008,14:12:49,,,17.93,degrees C,,,,,
23/11/2008,14:12:50,,,17.93,degrees C,,,,,
23/11/2008,14:12:51,,,17.93,degrees C,,,,,
23/11/2008,14:14:6,,,,,,,18.5,degrees C,
23/11/2008,14:14:7,,,,,,,18.5,degrees C,
23/11/2008,14:14:8,,,,,,,17.99,degrees C,
23/11/2008,14:14:9,,,,,,,18.5,degrees C,
23/11/2008,14:14:10,,,,,,,18.5,degrees C,
23/11/2008,14:14:11,,,,,,,18.5,degrees C,
23/11/2008,14:14:12,,,,,,,17.99,degrees C,
23/11/2008,14:14:13,,,,,,,18.5,degrees C,
23/11/2008,14:14:14,,,,,,,17.99,degrees C,
23/11/2008,14:14:15,,,,,,,18.5,degrees C,
23/11/2008,14:14:16,,,,,,,18.5,degrees C,
23/11/2008,14:14:17,,,,,,,18.5,degrees C,
23/11/2008,14:14:18,,,,,,,18.5,degrees C,
23/11/2008,14:14:20,,,,,,,18.5,degrees C,
23/11/2008,14:14:21,,,,,,,18.5,degrees C,
23/11/2008,14:14:22,,,,,,,18.5,degrees C,
23/11/2008,14:14:23,,,,,,,18.5,degrees C,
23/11/2008,14:14:24,,,,,,,18.5,degrees C,
23/11/2008,14:14:25,,,,,,,18.5,degrees C,
23/11/2008,14:14:26,,,,,,,17.99,degrees C,
23/11/2008,14:14:27,,,,,,,18.5,degrees C,
23/11/2008,14:14:28,,,,,,,18.5,degrees C,
23/11/2008,14:14:29,,,,,,,18.5,degrees C,
23/11/2008,14:14:30,,,,,,,18.5,degrees C,
23/11/2008,14:14:31,,,,,,,18.5,degrees C,
23/11/2008,14:14:32,,,,,,,18.5,degrees C,
23/11/2008,14:14:33,,,,,,,18.5,degrees C,
23/11/2008,14:14:34,,,,,,,18.5,degrees C,
23/11/2008,14:14:35,,,,,,,18.5,degrees C,
23/11/2008,14:14:37,,,,,,,18.5,degrees C,
23/11/2008,14:14:38,,,,,,,18.5,degrees C,
23/11/2008,14:14:39,,,,,,,18.5,degrees C,
23/11/2008,14:14:40,,,,,,,18.5,degrees C,
23/11/2008,14:14:41,,,,,,,18.5,degrees C,
23/11/2008,14:14:42,,,,,,,18.5,degrees C,
23/11/2008,14:14:43,,,,,,,18.5,degrees C,
23/11/2008,14:14:44,,,,,,,18.5,degrees C,
23/11/2008,14:14:45,,,,,,,18.5,degrees C,
23/11/2008,14:14:46,,,,,,,18.5,degrees C,
